Character,Line,Episode
Action," [The episode begins in the Candy Kingdom, Jake is playfully chasing Lady Rainicorn.]",Slumber Party Panic
Jake," Yeah, you think you're pretty way up there but I can get you! [he stretches to be on Lady's level.]",Slumber Party Panic
Lady Rainicorn," 나 잡아봐봐~ (""Catch me if you can."")",Slumber Party Panic
Action, [Finn and Princess Bubblegum are in a cemetery with a table full of different chemicals.],Slumber Party Panic
Princess Bubblegum, Alright. Let me just add three more drops of explosive diarrhea.,Slumber Party Panic
Action, [She adds the explosive diarrhea and a giant cloud shaped like a skull puffs out. Not a good omen.],Slumber Party Panic
Finn and Princess Bubblegum, Oooo...,Slumber Party Panic
Finn," Hey Princess Bubblegum, when we bring the dead back to life, will it be filled with worms? ",Slumber Party Panic
Princess Bubblegum," No. If my decorpsinator serum works, all the dead Candy People will look as young and healthy as you do.",Slumber Party Panic
Action," [Finn does a ""Tarzan-yell"" while hitting his hands against his chest.]",Slumber Party Panic
Princess Bubblegum," Pick up that platter, tough guy.",Slumber Party Panic
Action," [Finn picks up a serving platter and open the lid, revealing a Candy Person corpse.]",Slumber Party Panic
Finn, Old Mr. Cream Puff? ,Slumber Party Panic
Princess Bubblegum, [Giggles] We used to date. [Applies the serum.],Slumber Party Panic
Action, [Mr. Cream Puff's corpse starts to glow and overflow with the fizzing serum.],Slumber Party Panic
Finn," Something's happening! Come on, come on...",Slumber Party Panic
Princess Bubblegum, Work.,Slumber Party Panic
Action, [A zombie Mr. Cream Puff arises and moans.],Slumber Party Panic
Finn, Algebraic!,Slumber Party Panic
Princess Bubblegum," Wait, something's wrong.",Slumber Party Panic
Zombie Mr. Cream Puff, Sugar! [Squirts serum out of his eyes and mouth],Slumber Party Panic
Finn and Princess Bubblegum, Ew!,Slumber Party Panic
Action, [Zombie Mr. Cream Puff leaps into a giant test tube. The test tube falls and infects the whole cemetery. Zombie Candy People begin to arise from their graves.],Slumber Party Panic
Finn," Hey, look, the decorpsinator serum is working!",Slumber Party Panic
Princess Bubblegum," No, this is wrong. They're not coming back to life--they're still dead! The decorpsinator serum--it's incomplete! [she rubs the head of a candy person that looks like a love heart.]",Slumber Party Panic
Zombie Love Heart, [lashing out at Princess Bubblegum] Rah. Must eat sugar!,Slumber Party Panic
Finn," [Pushes him back down] You're grounded, Mister.",Slumber Party Panic
Princess Bubblegum," Oh, this is really bad. They're going to be attracted to the Candy Kingdom!",Slumber Party Panic
Finn, Why?,Slumber Party Panic
Princess Bubblegum," Because the Candy People are made of sugar, ya ding dong!",Slumber Party Panic
Zombie Mr. Cream Puff," [On Princess Bubblegum] Gimme some sugar, baby.",Slumber Party Panic
Finn, Chew on this! [Kicks him],Slumber Party Panic
Princess Bubblegum," [Giggles] Good one, Finn. Quickly, to the kingdom!",Slumber Party Panic
Action, [They run out of the cemetery],Slumber Party Panic
Finn, [Kicks another zombie] Get a life!,Slumber Party Panic
Action," [Princess Bubblegum is at the top of her castle, ringing a large bell]",Slumber Party Panic
Princess Bubblegum," All citizens of the Candy Kingdom! Report to the palace, immediately!",Slumber Party Panic
Action, [Candy People mumble in confusion and walk to the palace],Slumber Party Panic
Jake, Whoa!,Slumber Party Panic
Action, [Jake and Lady go off to the palace. Princess Bubblegum notices the zombies slowly leaving the cemetery.],Slumber Party Panic
Princess Bubblegum," [worried] Hurry, sweet citizens.",Slumber Party Panic
Finn," Alright, you heard the princess, everyone in! Alright, no pushing, come on!",Slumber Party Panic
Jake," Dude, what's up?",Slumber Party Panic
Finn," The princess will explain everything. Tree Trunks, get those hot buns in here, girl.",Slumber Party Panic
Tree Trunks," [Carrying hot cross buns] Oh, I hope it's not bad news.",Slumber Party Panic
Action, [Princess Bubblegum and Finn close the door],Slumber Party Panic
Finn, Did we get everyone?,Slumber Party Panic
Manfried, All present and accounted for.,Slumber Party Panic
Finn," Thanks, Manfried.",Slumber Party Panic
Manfried, You're welcome.,Slumber Party Panic
Princess Bubblegum," Citizens, we are assembled here in the candy foyer for a momentous announcement. Tonight we are all going to have... a slumber party!",Slumber Party Panic
Finn, What?!,Slumber Party Panic
Action, [Crowd cheers],Slumber Party Panic
Finn, Wait! What about the zom--?! [Princess Bubblegum covers his mouth],Slumber Party Panic
Princess Bubblegum, Go ahead and start partying.,Slumber Party Panic
Finn," [Voice muffled] But, Princess, the Undead--",Slumber Party Panic
Princess Bubblegum," [Carries Finn to the lab] We'll be right back, everyone.",Slumber Party Panic
Jake, Whooo!,Slumber Party Panic
Action, [In the lab],Slumber Party Panic
Princess Bubblegum," Finn, the Candy People can't know about the zombies.",Slumber Party Panic
Finn, Wha?!,Slumber Party Panic
Princess Bubblegum," If they knew, they would flip out.",Slumber Party Panic
Finn," What do you mean ""flip out""?",Slumber Party Panic
Princess Bubblegum, I mean they would flip out.,Slumber Party Panic
Action, [Scene changes to the cemetery; Starchie arrives with a shovel.],Slumber Party Panic
Starchie," Princess? It's me, Starchie the gravedigger. I brought you a larger corpse shovel. Oh, Princess? Well, I'll just wait for you here, then. By the mausoleum. With my back turned. And my defenses lowered.",Slumber Party Panic
Action," [As Starchie does so, Candy Zombie comes out of the mausoleum and goes up to Starchie, Starchie starts to scream and gasp and then... KABOOM!!! He explodes in a flash of light. Back at the castle.]",Slumber Party Panic
Finn, Candy People explode when they get scared?!,Slumber Party Panic
Princess Bubblegum," Not telling the Candy People about the zombies is so important that you need to promise, Royal Promise, not to let anyone find out about the zombies, ever.",Slumber Party Panic
Finn," Okay, sure.",Slumber Party Panic
Princess Bubblegum," No, Finn. You have to Royal Promise.",Slumber Party Panic
Finn," Yes, [kneels] I Royal Promise.",Slumber Party Panic
Princess Bubblegum, Now I must cloister myself in the lab and finish the equation to my decorpsinator serum. You keep the candy folk distracted and ignorant. Can you do that?,Slumber Party Panic
Finn," Yes, your highness.",Slumber Party Panic
Princess Bubblegum, Good. Don't tell anyone about the zombies. Never ever. [She leaves],Slumber Party Panic
Finn," No, wait. Can I at least tell [Jake enters] Jake?",Slumber Party Panic
Jake," Tell me about what, dude?",Slumber Party Panic
Finn," You know, about the outbreak of zom-- [Covers his mouth]",Slumber Party Panic
Jake," [Chuckles] Alright, what's going on?",Slumber Party Panic
Finn," Uhh, nothing at all, buddy! [Laughs awkwardly and skips into the foyer]",Slumber Party Panic
Jake," Hey, dude. I think you and Bubblegum are up to something.",Slumber Party Panic
Finn," [nervously] Ahha ah, what? No, no way.",Slumber Party Panic
Jake," Whoa, you guys are up to something. Is it some sort of prank? Can I get in on it?",Slumber Party Panic
Finn," [To party-goers] Who wants to play ""Truth or Dare""?",Slumber Party Panic
Jake, Hmm...,Slumber Party Panic
Finn," Ok, Chocoberry, you may ask someone to tell a deep truth or a saucy dare.",Slumber Party Panic
Chocoberry," Mr. Cupcake, truth or dare?",Slumber Party Panic
Mr. Cupcake, Dare.,Slumber Party Panic
Chocoberry, I dare you to take off your wrapper.,Slumber Party Panic
Action," [Everyone goes ""Oooh""]",Slumber Party Panic
Jake," [Shoulders Finn] Hey seriously, man. I'm your bro. Bros are supposed to tell bros everything all the time. What are you and Bubblegum up to? Is everything alright?",Slumber Party Panic
Finn," Yep! Fine! Everything is great! Heh, heh. [Crinkling sound] Except for that. Whoa.",Slumber Party Panic
Action, [Mr. Cupcake has shed his wrapper],Slumber Party Panic
Peppermint Butler, I didn't know he was chocolate.,Slumber Party Panic
Mr. Cupcake," Jake, truth or dare?",Slumber Party Panic
Jake, Truth.,Slumber Party Panic
Mr. Cupcake, Do you prefer chocolate or fudge?,Slumber Party Panic
Jake," I can't eat chocolate or fudge 'cause I'm a dog and they'd probably kill me, but hmmmmm probably... neither. Finn! Truth or dare?",Slumber Party Panic
Finn, Dare! Haha!,Slumber Party Panic
Jake, I dare you... to tell me the truth about what's going on in your mind. What were you and Bubblegum talking about when you were alone together?,Slumber Party Panic
Action," [Everybody goes ""Oooh""]",Slumber Party Panic
Finn," [Nervously] Umm, ahh, the truth is, ahhh...",Slumber Party Panic
Action, [Finn visualizes Princess Bubblegum's face on Jake],Slumber Party Panic
Hallucination of Princess Bubblegum," You promised you wouldn't freakin' tell anyone! Oh, you're so cute, Finn.",Slumber Party Panic
Finn, Ahhh... the truth is... that I'd rather play Dodge Socks!,Slumber Party Panic
Action," [Finn throws a sock at Jake, Princess Bubblegum's face goes away]",Slumber Party Panic
Jake, I'm not playing dodge socks 'til you stop dodging my questions. Hey... [Sniffs socks] Old Mr. Cream Puff? Isn't he dead?,Slumber Party Panic
Finn," Hey, give me my sock back! Dodge Socks was a bad idea!",Slumber Party Panic
Jake," Whoa. [angrily] Look dude, just tell me what's up, 'cause you are crazier than a cannonball tonight.",Slumber Party Panic
Action, [Finn looks out a window behind Jake and sees the zombies coming],Slumber Party Panic
Finn," [Thinking] Oh, my goodness! Princess hasn't finished the equation and the zombies are here!",Slumber Party Panic
Finn," I, uh, she just want this slumber party to be super fun, and if I did have something to tell you, then I would in a second, and it would make my life easier, unless there was something stopping me, like a promise, but there isn't, so I won't, so it's cool.",Slumber Party Panic
Action, [Zombie arises by the window behind Jake],Slumber Party Panic
Zombie, Sugar!,Slumber Party Panic
Action, [Finn shuts the shutters],Slumber Party Panic
Jake, What? You lost me.,Slumber Party Panic
Finn," Umm... Hey, you know what time it is?",Slumber Party Panic
Jake, Adventure time?,Slumber Party Panic
Finn," No, time for Seven Minutes in Heaven! You're first.",Slumber Party Panic
Jake, Really?,Slumber Party Panic
Finn, Lady Raincorn! In the closet with Jake!,Slumber Party Panic
Lady," 뭐? 나? 웃겨 정말. 그래, 좋아. 하자. (""What? Me? You gotta be kidding me. Okay, then. I'll play."")",Slumber Party Panic
Jake," Okay, okay, alright. [Closet door closes on Jake and Lady] But in seven minutes, I'm gonna come out and make you spill your beans, Finn.",Slumber Party Panic
Finn, I can't hear you all the way in heaven!,Slumber Party Panic
Action," [Finn looks out a window, a horde of zombies shouting ""Sugar"" comes and begins banging on door]",Slumber Party Panic
Chet," Umm, does anyone else hear that?",Slumber Party Panic
Finn," What? Hear what? I, I don't hear anything.",Slumber Party Panic
Action, [Candy People begin to murmur as they too hear the banging.],Slumber Party Panic
Chet, I hear something I don't understand... and it makes me scared! [Begins to shake.],Slumber Party Panic
Finn," What? No, Chet. Everybody, wait. What noise? You mean this noise? [Turns on a radio and party lights comes on.]",Slumber Party Panic
Chet, Oh. [Laughs],Slumber Party Panic
Finn, Yeah! Dance it! Bust it up! Uh! Uh! Uh! Oh!,Slumber Party Panic
Action," [A zombie comes out of the main door, Finn rushes to the door, grabbing a table]",Slumber Party Panic
Chocoberry," What is this game you are playing at now, Finn?",Slumber Party Panic
Action, [Finn barricades the door with the table],Slumber Party Panic
Finn," Uhh, it's... Blockado. Haha, the game of barricades. Come on, let's block all the entrances and windows!",Slumber Party Panic
Action, [Candy People cheer and begin blockading the doors and windows before the zombies can come in],Slumber Party Panic
Finn," Alright, this is not a permanent solution. Think Finn, how can you keep everyone from finding out?",Slumber Party Panic
Manfried," Find out about what, Finn?",Slumber Party Panic
Finn," Manfried, the talking piñata! Your convient appearance gives me a great idea. Everyone, grab a stick! New game! We're gonna smash some piñatas!",Slumber Party Panic
Manfried, What?,Slumber Party Panic
Finn," Except for you, Manfried.",Slumber Party Panic
Manfried," Oh, thank goodness.",Slumber Party Panic
Action, [Finn takes somes strips off of Taffy Girl],Slumber Party Panic
Finn," Now everybody don these blindfolds. [Whispering] Thanks, Taffy Girl.",Slumber Party Panic
Action, [Finn runs into the middle of the blindfolded Candy People swinging sticks],Slumber Party Panic
Finn," Alright, everybody, get together. I'm hanging the piñatas... [The zombies burst through the barricades] They're all around you. Smash the piñatas!",Slumber Party Panic
Action, [Finn and the Candy People smash all the zombies],Slumber Party Panic
Finn, Yeah! You guys are on fire!,Slumber Party Panic
Action," [Chocoberry smashes a zombie, causing candy to fall out. She kneels down and licks the candy.]",Slumber Party Panic
Chocoberry," Oh, it is so tasty.",Slumber Party Panic
Action, [All the Candy Zombies are smashed and the Candy People are eating their candy],Slumber Party Panic
Finn, Yes! We did it! My improbable plan worked!,Slumber Party Panic
Action, [Jake and Lady come out of the closet],Slumber Party Panic
Jake, Whew!,Slumber Party Panic
Lady," 안녕! (""Hello!"")",Slumber Party Panic
Jake," Seven minutes up yet? [Grabs a jelly filled doughnut and eats it, noticing the zombie corpses.] Whoa! [Runs to Finn] What the nuts happened here?!",Slumber Party Panic
Finn," Oh, we killed all the zombies that Princess Bubblegum and I raised from the dead.",Slumber Party Panic
Jake, Really!?,Slumber Party Panic
Action," [Time freezes, leaving only Finn moving in the room.]",Slumber Party Panic
Finn, Jake? What's going on?,Slumber Party Panic
Action," [Princess Bubblegum enters, unaffected by the freezing.]",Slumber Party Panic
Princess Bubblegum," What? Huh? Oh, Finn! Did you break your Royal Promise?",Slumber Party Panic
Finn," Yeah, but, I mean, all the zombies are dead. The Candy People won't freak out. What's the big deal?",Slumber Party Panic
Princess Bubblegum," This is really, really bad, Finn. You can't break Royal Promises. Never, ever, never. No matter what, forever.",Slumber Party Panic
Action, [The room starts shaking],Slumber Party Panic
Princess Bubblegum, The Guardians of the Royal Promise are coming for us.,Slumber Party Panic
Action, [A hand bursts through the ceiling and grabs Finn and Princess Bubblegum and pulls them outside],Slumber Party Panic
Finn and Princess Bubblegum, Whoa!,Slumber Party Panic
Guardian 1, Finn the Human. You have broken a Royal Promise for which the penalty is trial by fire.,Slumber Party Panic
Action, [Guardian 2 breathes fire],Slumber Party Panic
Finn, That's stupid.,Slumber Party Panic
Princess Bubblegum, Wait! He's my friend! Isn't there another option?!,Slumber Party Panic
Guardian 1," Yes. Because you care for the promise-breaker, we will give him a less hot trial. You must now answer...",Slumber Party Panic
Guardian 2, ...Math questions!,Slumber Party Panic
Finn, Mathematical!,Slumber Party Panic
Princess Bubblegum," Finn, you're terrible at math.",Slumber Party Panic
Finn, Awww.,Slumber Party Panic
Guardian 1," Now, solve this! [Puts Finn in front of Guardian 2, who puts up a hologram of an overly complicated math equation]",Slumber Party Panic
Finn, Uhh....,Slumber Party Panic
Guardian 2," Oh, wait, wait, I thought of a better one. [Replaces the equation with one that says ""2+2""]",Slumber Party Panic
Guardian 1, Yes! Two plus two. Solve it or die.,Slumber Party Panic
Finn," Uhh. Four, right?",Slumber Party Panic
Action, [Guardians laugh],Slumber Party Panic
Guardian 1," Oh, correct.",Slumber Party Panic
Action," [Guardians heads explode and time rewinds, night becomes day, Guardian 2's head comes back and he talks backwards and goes back to sitting and blowing bubbles around the Candy Kingdom.]",Slumber Party Panic
Finn," What's happening, Princess?",Slumber Party Panic
Princess Bubblegum, You've defeated the broken royal promise! The Gumball Guardians are resetting!,Slumber Party Panic
Action," [Guardian 1 drops Finn and Princess Bubblegum, who teleport back to Princess Bubblegum's lab]",Slumber Party Panic
Finn," Slamacow! That was tops! Who's not good at math? I was all ""Four!""",Slumber Party Panic
Princess Bubblegum," Four, four... Four, four, four... That's it! The answer was so simple, I was too smart to see it!",Slumber Party Panic
Finn, You're welcome!,Slumber Party Panic
Princess Bubblegum, '4' is the last figure I need to perfect my decorpsinator serum.,Slumber Party Panic
Action," [In the foyer, Princess Bubblegum pours the serum on a zombie]",Slumber Party Panic
Revived Zombie, Golly!,Slumber Party Panic
Action, [Finn and Princess Bubblegum pour the serum on all the zombies],Slumber Party Panic
Finn, Woohoo! Yeah!,Slumber Party Panic
Jake," This is messed up, but sweet.",Slumber Party Panic
Lady Rainicorn," 진짜로. (""Truly it is."")",Slumber Party Panic
Action, [Finn and Princess Bubblegum revive more Candy Zombies],Slumber Party Panic
Candy Person 1, Uncle Chewy!,Slumber Party Panic
Candy Person 2, Grandma!,Slumber Party Panic
Ice Cream Lady, Former dead relative!,Slumber Party Panic
Jake, Starchie!,Slumber Party Panic
Starchie, Mornin'.,Slumber Party Panic
Jake," [Walks over to Finn] Man, you broke a Royal Promise? You're nuts. All you had to do is say that it was a royal secret. I know what's up. [Walks away from Finn.]",Slumber Party Panic
Princess Bubblegum, I hope you grasp the full consequences of breaking promises.,Slumber Party Panic
Finn," Heck yeah! If I break a Royal Promise, I get to fight zombies, throw slumber parties, awake Gumball Guardians and... and...",Slumber Party Panic
Princess Bubblegum," Alright, alright.",Slumber Party Panic
Finn, [evilly] And reverse death itself!,Slumber Party Panic
Princess Bubblegum," Oh, you are adorable. But keep your promises, okay?",Slumber Party Panic
Finn," I will, Princess.",Slumber Party Panic
Action, [Finn notices Starchie gnawing on his leg and picks him up],Slumber Party Panic
Finn," Starchie, you're not a zombie.",Slumber Party Panic
Starchie, I can't help it. Flesh is delicious!,Slumber Party Panic
Finn, You're delicious!,Slumber Party Panic
Starchie,  Don't squeeze me! I'll fart!,Slumber Party Panic
Action," [Finn squeezes him, Starchie farts]",Slumber Party Panic
Action," [The episode begins at Princess Bubblegum's Mallow Tea Ceremony. She, Finn, Jake, Lumpy Space Princess, and Hot Dog Princess are there.]",Trouble in Lumpy Space
Finn,  [bouncing] Whoop! Huh?,Trouble in Lumpy Space
Jake,  [bouncing] Whoop!,Trouble in Lumpy Space
