num_overall,num_season,Episode,stardate,director,writers,airdate,million_viewers,season
1,1,"""Encounter at Farpoint""",41153.7,Corey Allen,"D. C. Fontana,Gene Roddenberry","September 28, 1987",15.7[1],1
2,2,"""The Naked Now""",41209.2,Paul Lynch,"John D. F. Black,J. Michael Bingham,J. Michael Bingham","October 5, 1987",11.5[1],1
3,3,"""Code Of Honour""",41235.25,Russ Mayberry,"Katharyn Powers,Michael Baron","October 12, 1987",9.5[1],1
4,4,"""The Last Outpost""",41386.4,Richard Colla,"Richard Krzmeien,Herbert Wright","October 19, 1987",8.9[1],1
5,5,"""Where No One Has Gone Before""",41263.1,Rob Bowman,"Diane Duane,Michael Reaves","October 26, 1987",10.5[1],1
6,6,"""Lonely Among Us""",41249.3,Cliff Bole,"Michael Halperin,D. C. Fontana","November 2, 1987",12.1[1],1
7,7,"""Justice""",41255.6,James L. Conway,"Ralph Wills,Worley Thorne,Worley Thorne","November 9, 1987",12.7[1],1
8,8,"""The Battle""",41723.9,Rob Bowman,"Larry Forrester,Herbert Wright","November 16, 1987",10.5[1],1
9,9,"""Hide and Q""",41590.5,Cliff Bole,"C.J. Holland,C.J. Holland,Gene Roddenberry","November 23, 1987",11.0[1],1
10,10,"""Haven""",41294.5,Richard Compton,"Tracy Tormé,Lan O'Kun,Tracy Tormé","November 30, 1987",10.3[1],1
11,11,"""The Big Goodbye""",41997.7,Joseph L. Scanlan,Tracy Tormé,"January 11, 1988",11.5[1],1
12,12,"""Datalore""",41242.4,Rob Bowman,"Robert Lewin,Maurice Hurley,Robert Lewin,Gene Roddenberry","January 18, 1988",10.3[1],1
13,13,"""Angel One""",41636.9,Michael Rhoades,Patrick Barry,"January 25, 1988",11.4[1],1
14,14,"""11001001""",41365.9,Paul Lynch,"Maurice Hurley,Robert Lewin","February 1, 1988",10.7[1],1
15,15,"""Too Short A Season""",41309.5,Rob Bowman,"Michael Michaelian,Michael Michaelian,D. C. Fontana","February 8, 1988",10.9[1],1
16,16,"""When The Bough Breaks""",41509.1,Kim Manners,Hannah Louise Shearer,"February 15, 1988",10.2[1],1
17,17,"""Home Soil""",41463.9,Corey Allen,"Karl Geurs,Ralph Sanchez,Robert Sabaroff,Robert Sabaroff","February 22, 1988",9.0[1],1
18,18,"""Coming Of Age""",41416.2,Mike Vejar,Sandy Fries,"March 14, 1988",10.1[1],1
19,19,"""Heart Of Glory""",41503.7,Rob Bowman,"Maurice Hurley,Herbert Wright,D. C. Fontana,Maurice Hurley","March 21, 1988",10.7[1],1
20,20,"""The Arsenal Of Freedom""",41798.2,Les Landau,"Maurice Hurley,Robert Lewin,Richard Manning,Hans Beimler","April 11, 1988",10.4[1],1
21,21,"""Symbiosis""",Unknown,Win Phelps,"Robert Lewin,Robert Lewin,Richard Manning,Hans Beimler","April 18, 1988",10.8[1],1
22,22,"""Skin of Evil""",41601.3,Joseph L. Scanlan,"Joseph Stefano,Joseph Stefano,Hannah Louise Shearer","April 25, 1988",9.7[1],1
23,23,"""We'll Always Have Paris""",41697.9,Robert Becker,"Deborah Dean Davis,Hannah Louise Shearer","May 2, 1988",9.7[1],1
24,24,"""Conspiracy""",41775.5,Cliff Bole,"Robert Sabaroff,Tracy Tormé","May 9, 1988",9.4[1],1
25,25,"""The Neutral Zone""",41986,James L. Conway,"Deborah McIntyre,Mona Clee,Maurice Hurley","May 16, 1988",10.2[1],1
26,1,"""The Child""",42073.1,Rob Bowman,"Jaron Summers,Jon Povill,Maurice Hurley","November 21, 1988",10.9[2],2
27,2,"""Where Silence Has Lease""",42193.6,Winrich Kolbe,Jack B. Sowards,"November 28, 1988",10.3[2],2
28,3,"""Elementary, Dear Data""",42286.3,Rob Bowman,Brian Alan Lane,"December 5, 1988",Unknown[2],2
29,4,"""The Outrageous Okona""",42402.7,Robert Becker,"Les Menchen,Lance Dickson,David Landsberg,Burton Armus","December 12, 1988",Unknown[2],2
30,5,"""Loud As A Whisper""",42477.2,Larry Shaw,Jacqueline Zambrano,"January 9, 1989",10.7[2],2
31,6,"""The Schizoid Man""",42437.5,Les Landau,"Richard Manning,Hans Beimler,Tracy Tormé","January 23, 1989",10.8[2],2
32,7,"""Unnatural Selection""",42494.8,Paul Lynch,"John Mason,Mike Gray","January 30, 1989",11.0[2],2
33,8,"""A Matter of Honour""",42506.5,Rob Bowman,"Wanda M. Haight,Gregory Amos,Burton Armus,Burton Armus","February 6, 1989",11.3[2],2
34,9,"""The Measure Of A Man""",42523.7,Robert Scheerer,Melinda M. Snodgrass,"February 13, 1989",11.3[2],2
35,10,"""The Dauphin""",42568.8,Rob Bowman,"Scott Rubenstein,Leonard Mlodinow","February 20, 1989",10.7[2],2
36,11,"""Contagion""",42609.1,Joseph L. Scanlan,"Steve Gerber,Beth Woods","March 20, 1989",10.2[2],2
37,12,"""The Royale""",42625.4,Cliff Bole,Keith Mills,"March 27, 1989",10.6[2],2
38,13,"""Time Squared""",42679.2,Joseph L. Scanlan,"Kurt Michael Bensmiller,Maurice Hurley","April 3, 1989",9.9[2],2
39,14,"""The Icarus Factor""",42686.4,Robert Iscove,"David Assael,David Assael,Robert McCullough","April 24, 1989",9.1[2],2
40,15,"""Pen Pals""",42695.3,Winrich Kolbe,"Hannah Louise Shearer,Melinda M. Snodgrass","May 1, 1989",9.7[2],2
41,16,"""Q Who?""",42761.3,Rob Bowman,Maurice Hurley,"May 8, 1989",10.3[2],2
42,17,"""Samaritan Snare""",42779.1,Les Landau,Robert McCullough,"May 15, 1989",10.0[2],2
43,18,"""Up The Long Ladder""",42823.2,Winrich Kolbe,Melinda M. Snodgrass,"May 22, 1989",9.2[2],2
44,19,"""Manhunt""",42859.2,Rob Bowman,Terry Devereaux,"June 19, 1989",8.9[2],2
45,20,"""The Emissary""",42901.3,Cliff Bole,"Richard Manning,Hans Beimler,Thomas H. Calder,Richard Manning,Hans Beimler","June 26, 1989",9.0[2],2
46,21,"""Peak Performance""",42923.4,Robert Scheerer,David Kemper,"July 10, 1989",9.4[2],2
47,22,"""Shades of Gray""",42976.1,Rob Bowman,"Maurice Hurley,Maurice Hurley,Richard Manning,Hans Beimler","July 17, 1989",9.8[2],2
48,1,"""Evolution""",43125.8,Winrich Kolbe,"Michael Piller,Michael Wagner,Michael Piller","September 25, 1989",10.8[3],3
